류,번호,표제,품명
03,0305,건조·염장한 어류와 어분,"건조한 어류, 염장이나 염수장한 어류, 훈제한 어류(훈제과정 중이나 훈제 전에 조리한 것인지에 상관없다)"
03,0306,갑각류,"갑각류(껍데기가 붙어 있는 것인지에 상관없으며 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것·염장이나 염수장한 것), 훈제한 갑각류(껍데기가 붙어 있는 것인지 또는 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다), 껍데기가 붙어 있는 상태로 물에 찌거나 삶은 갑각류(냉장한 것·냉동한 것·건조한 것·염장이나 염수장한 것인지에 상관없다)"
03,0307,연체동물,"연체동물(껍데기가 붙어 있는지에 상관없으며 살아 있는 것과 신선한 것·냉장이나 냉동한 것·건조한 것·염장이나 염수장한 것), 훈제한 연체동물(껍데기가 붙어 있는 것인지 또는 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다)"
03,0308,수생무척추동물,"수생(水生) 무척추동물(갑각류와 연체동물은 제외하며, 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것, 염장이나 염수장한 것), 훈제한 수생(水生) 무척추동물(갑각류와 연체동물은 제외하며, 훈제 전이나 훈제과정 중에 조리한 것인지에 상관없다)"
03,0309,어류의 분,어류·갑각류·연체동물과 그 밖의 수생무척추동물의 고운 가루·거친 가루와 펠릿(pellet)(식용에 적합한 것으로 한정한다)
04,0401,밀크와 크림(비농축·무설탕),밀크와 크림(농축하지 않은 것으로서 설탕이나 그 밖의 감미료를 첨가하지 않은 것으로 한정한다)
04,0402,밀크와 크림(농축·설탕첨가),밀크와 크림(농축하였거나 설탕이나 그 밖의 감미료를 첨가한 것으로 한정한다)
04,0403,"요구르트, 버터밀크","요구르트, 버터밀크·응고밀크와 응고크림·케피어(kephir)와 그 밖의 발효되거나 산성화된 밀크와 크림(농축한 것인지 또는 설탕이나 그 밖의 감미료를 첨가한 것인지 또는 향·과실·견과류·코코아를 첨가한 것인지에 상관없다)"
04,0404,유장,유장(농축한 것인지 또는 설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다)과 따로 분류된 것 외의 천연밀크의 성분을 함유하는 물품(설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다)
04,0405,버터,"버터와 그 밖의 지방과 기름(밀크에서 얻은 것으로 한정한다), 데어리 스프레드(dairy spread)"
04,0406,치즈,치즈와 커드(curd)
04,0407,껍질이 붙은 조란,"새의 알(껍질이 붙은 것으로서 신선한 것, 보존처리하거나 조리한 것으로 한정한다)"
04,0408,껍질이 붙지 않은 조란,"새의 알(껍질이 붙지 않은 것)과 알의 노른자위(신선한 것, 건조한 것, 물에 삶았거나 찐 것, 성형한 것, 냉동한 것이나 그 밖의 보존처리를 한 것으로 한정하며, 설탕이나 그 밖의 감미료를 첨가한 것인지에 상관없다)"
04,0409,천연꿀,천연꿀
04,0410,기타 식용의 동물성 생산품,곤충과 그 밖의 식용인 동물성 생산품(따로 분류되지 않은 것으로 한정한다)
05,0501,인모,"사람 머리카락(가공하지 않은 것으로 한정하며, 세척이나 세정을 했는지에 상관없다)과 그 웨이스트(waste)"
05,0502,브러쉬 제조용의 수모,돼지털·멧돼지털·오소리털과 그 밖의 브러시 제조용 동물의 털과 이들의 웨이스트(waste)
05,0504,동물의 장·방광·위,동물(어류는 제외한다)의 장·방광·위의 전체나 부분(신선한 것·냉장이나 냉동한 것·염장이나 염수장한 것·건조한 것·훈제한 것으로 한정한다)
05,0505,우모,"새의 깃털이나 솜털이 붙은 가죽과 그 밖의 부분, 깃털과 그 부분(가장자리를 정리했는지에 상관없다), 새의 솜털(청정·소독·보존을 위한 처리 이상의 가공을 하지 않은 것으로 한정한다), 새의 깃털이나 그 부분의 가루와 웨이스트(waste)"
05,0506,뼈와 혼코어,"뼈와 혼코어(horn-core)[가공하지 않은 것, 탈지(脫脂)한 것, 단순히 정리한 것(특정한 형상으로 깎은 것은 제외한다), 산(酸)처리를 하거나 탈교한(degelatinised) 것], 이들의 가루와 웨이스트(waste)"
05,0507,동물의 외각,"아이보리(ivory)·귀갑(龜甲)·고래수염과 그 털·뿔(horn)·사슴뿔·발굽·발톱·부리(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 특정한 모양으로 깎은 것은 제외한다), 이들의 가루와 웨이스트(waste)"
05,0508,산호와 패각,"산호와 이와 유사한 물품(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 더 이상의 가공을 한 것은 제외한다), 연체동물·갑각류·극피동물의 껍데기와 오징어뼈(가공하지 않은 것과 단순히 정리한 것으로 한정하며, 특정한 모양으로 깎은 것은 제외한다)와 이들의 가루와 웨이스트(waste)"
05,0510,"동물성향료, 의약용의 선","용연향(ambergris)·해리향(castoreum)·시빗(civet)과 사향, 캔대리디즈(cantharides), 쓸개즙(건조했는지에 상관없다), 의약품 제조용 선(腺)이나 그 밖의 동물성 생산품(신선한 것, 냉장·냉동이나 그 밖의 방법으로 일시적으로 보존하기 위하여 처리한 것으로 한정한다)"
05,0511,기타 동물성생산품,따로 분류되지 않은 동물성 생산품과 제1류나 제3류의 동물의 사체로서 식용에 적합하지 않은 것
06,0601,뿌리,"인경(鱗莖)·괴경(塊莖)·괴근(塊根)·구경(球莖)·관근(冠根)·근경(根莖)으로서 휴면(休眠)상태이거나 자라고 있거나 꽃이 피어 있는 것, 치커리·치커리 뿌리(제1212호의 뿌리는 제외한다)"
06,0602,그 밖의 살아 있는 식물,"그 밖의 살아 있는 식물(뿌리를 포함한다)·꺾꽂이용 가지·접붙임용 가지, 버섯의 종균(種菌)"
06,0603,절화,절화(切花)와 꽃봉오리(신선한 것과 건조·염색·표백·침투나 그 밖의 가공을 한 것으로서 꽃다발용이나 장식용에 적합한 것으로 한정한다)
06,0604,그 밖의 장식용 식물,"식물의 잎·가지와 그 밖의 부분(꽃과 꽃봉오리가 없는 것으로 한정한다), 풀·이끼·지의(地衣)(신선한 것과 건조·염색·표백·침투나 그 밖의 가공을 한 것으로서 꽃다발용이나 장식용에 적합한 것으로 한정한다)"
07,0701,감자,감자(신선한 것이나 냉장한 것으로 한정한다)
07,0702,토마토,토마토(신선한 것이나 냉장한 것으로 한정한다)
07,0703,파·마늘,양파·샬롯(shallot)·마늘·리크(leek)와 그 밖의 파속의 채소(신선한 것이나 냉장한 것으로 한정한다)
07,0704,배추,양배추·꽃양배추·콜라비(kohlrabi)·케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 냉장한 것으로 한정한다)
07,0705,상추 및 치커리,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속](신선한 것이나 냉장한 것으로 한정한다)
07,0706,식용 뿌리,당근·순무·샐러드용 비트(beetroot)·선모(仙茅)·셀러리액(celeriac)·무와 그 밖에 이와 유사한 식용 뿌리(신선한 것이나 냉장한 것으로 한정한다)
07,0707,오이류,오이류(신선한 것이나 냉장한 것으로 한정한다)
07,0708,채두류,채두류(菜豆類)(꼬투리가 있는지에 상관없으며 신선한 것이나 냉장한 것으로 한정한다)
07,0709,기타의 채소,그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다)
07,0710,냉동채소,냉동채소(조리하지 않은 것이나 물에 삶거나 쪄서 조리한 것으로 한정한다)
07,0711,일시 보존처리한 채소,일시적으로 보존하기 위하여 처리한 채소(그 상태로는 식용에 적합하지 않은 것으로 한정한다)
07,0712,건조한 채소,"건조한 채소(원래 모양인 것, 절단한 것, 얇게 썬 것, 부순 것, 가루 모양인 것으로 한정하며, 더 이상 조제한 것은 제외한다)"
07,0713,건조한 채두류,건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)
07,0714,식용 뿌리·괴경,"매니옥(manioc)·칡뿌리·살렙(salep)·돼지감자(Jerusalem artichoke)·고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리·괴경(塊莖)[얇게 썬 것이나 펠릿(pellet) 모양인지에 상관없으며 신선한 것, 냉장한 것·냉동한 것, 건조한 것으로 한정한다], 사고야자(sago)의 심(pith)"
08,0801,코코넛·브라질넛 및 캐슈넛,"코코넛·브라질너트·캐슈너트(cashew nut)(신선한 것이나 건조한 것으로 한정하며, 껍데기나 껍질을 벗겼는지에 상관없다)"
08,0802,기타의 견과류,"그 밖의 견과류(신선하거나 건조한 것으로 한정하며, 껍데기나 껍질을 벗겼는지에 상관없다)"
08,0803,바나나,"바나나[플랜틴(plantain)을 포함하며, 신선하거나 건조한 것으로 한정한다]"
08,0804,대추야자,대추야자·무화과·파인애플·아보카도(avocado)·구아바(guava)·망고(mango)·망고스틴(mangosteen)(신선하거나 건조한 것으로 한정한다)
08,0805,감귤,감귤류의 과실(신선하거나 건조한 것으로 한정한다)
08,0806,포도,포도(신선하거나 건조한 것으로 한정한다)
08,0807,멜론,멜론(수박을 포함한다)과 포포(papaw)[파파야(papaya)](신선한 것으로 한정한다)
08,0808,사과·배 및 마르멜로,사과·배·마르멜로(quince)(신선한 것으로 한정한다)
08,0809,살구·버찌·복숭아,살구·체리·복숭아[넥터린(nectarine)을 포함한다]·자두·슬로(sloe)(신선한 것으로 한정한다)
08,0810,기타 과실,그 밖의 과실(신선한 것으로 한정한다)
08,0811,냉동과실과 냉동견과류,"냉동 과실과 냉동 견과류(조리하지 않은 것이나 물에 삶거나 찐 것으로 한정하며, 설탕이나 그 밖의 감미료를 첨가했는지에 상관없다)"
08,0812,일시 보존처리한 과실·견과류,일시적으로 보존하기 위하여 처리한 과실과 견과류(그 상태로는 식용에 적합하지 않은 것으로 한정한다)
08,0813,건조한 과실,"건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다), 이 류의 견과류나 건조한 과실의 혼합물"
08,0814,감귤류껍질과 멜론껍질,"감귤류의 껍질과 멜론(수박을 포함한다)의 껍질(신선한 것, 냉동하거나 건조한 것, 염수·유황수나 그 밖의 저장용액으로 일시적으로 보존하기 위하여 처리한 것으로 한정한다)"
09,0901,커피,"커피(볶았는지, 카페인을 제거했는지에 상관없다), 커피의 껍데기와 껍질, 커피를 함유한 커피 대용물(커피의 포함비율은 상관없다)"
09,0902,차류,차류(맛과 향을 첨가했는지에 상관없다)
09,0903,마태　,마테(mate)
09,0904,후추 및 고추류,"후추[파이퍼(Piper)속의 것으로 한정한다], 건조하거나 부수거나 잘게 부순 고추류[캡시컴(Capsicum)속]의 열매나 피멘타(Pimenta)속의 열매"
09,0905,바닐라두,바닐라
09,0906,계피,계피와 계피나무의 꽃
09,0907,정향,정향(丁香)(과실·꽃·꽃대로 한정한다)
09,0908,육두구·메이스 및 소두구,육두구(肉荳?)·메이스(mace)·소두구(小荳?)
09,0909,아니스,아니스(anise)·대회향(大茴香)·회향(茴香)·코리앤더(coriander)·커민(cumin)·캐러웨이(caraway)의 씨와 주니퍼(juniper)의 열매
09,0910,기타 향신료,생강·사프란(saffron)·심황[강황(薑黃)]·타임(thyme)·월계수 잎·카레와 그 밖의 향신료
10,1001,밀과 메슬린,밀과 메슬린(meslin)
10,1002,호밀,호밀
10,1003,보리,보리
10,1004,귀리,귀리
10,1005,옥수수,옥수수
10,1006,쌀,쌀
10,1007,수수,수수
10,1008,메밀·조 및 기타의 곡물,메밀·밀리트(millet)·카나리시드(canary seed)와 그 밖의 곡물
11,1101,밀가루 또는 메슬린 가루,밀가루나 메슬린(meslin) 가루
11,1102,곡분,곡물의 고운 가루[밀가루나 메슬린(meslin) 가루는 제외한다]
11,1103,기타 곡물의 분쇄물,곡물의 부순 알곡·거친 가루·펠릿(pellet)
11,1104,기타 가공한 곡물,"그 밖의 가공한 곡물[예: 껍질을 벗긴 것·압착한 것·플레이크(flake) 모양인 것·진주 모양인 것·얇은 조각으로 만든 것·거칠게 빻은 것(제1006호의 쌀은 제외한다)], 곡물의 씨눈으로서 원래 모양인 것·압착한 것·플레이크(flake) 모양인 것·잘게 부순 것"
11,1105,감자의 분·플레이크·펠리트,감자의 고운 가루·거친 가루·가루·플레이크(flake)·알갱이·펠릿(pellet)
11,1106,건조한 채두류 및 과실의 분,"건조한 채두류(菜豆類)(제0713호의 것), 사고(sago)·뿌리나 괴경(塊莖)(제0714호의 것), 제8류 물품의 고운 가루·거친 가루·가루"
11,1107,맥아,맥아(볶은 것인지에 상관없다)
11,1108,전분과 이눌린,전분과 이눌린(inulin)
11,1109,밀의 글루텐,밀의 글루텐(gluten)(건조했는지에 상관없다)
12,1201,대두,대두(부수었는지에 상관없다)
12,1202,땅콩,"땅콩(볶거나 그 밖의 조리를 한 것은 제외하며, 껍데기를 벗겼는지, 부수었는지에 상관없다)"
12,1203,코프라,코프라(copra)
12,1204,아마인,아마씨(부수었는지에 상관없다)
12,1205,유채씨,"유채(rape, colza)씨(부수었는지에 상관없다)"
12,1206,해바라기씨,해바라기씨(부수었는지에 상관없다)
12,1207,기타 채유용 종자,그 밖의 채유(採油)에 적합한 종자와 과실(부수었는지에 상관없다)
12,1208,채유용 종자·과실의 분,채유(採油)에 적합한 종자와 과실의 고운 가루와 거친 가루(겨자의 고운 가루와 거친 가루는 제외한다)
12,1209,파종용의 종자·과실,파종용 종자·과실·포자(胞子)
12,1210,호프,"홉(hop)[신선하거나 건조한 것으로서 잘게 부순 것인지 또는 가루나 펠릿(pellet) 모양인지에 상관없다], 루플린(lupulin)"
12,1211,향료·의료용 식물,"주로 향료용·의료용·살충용·살균용과 그 밖에 이와 유사한 용도에 적합한 식물과 그 부분(종자와 과실을 포함하고, 신선한 것·냉장한 것·냉동한 것·건조한 것에 한정하며, 절단하거나 잘게 부순 것인지 또는 가루로 된 것인지에 상관없다)"
12,1212,기타 식용 식물,"로커스트콩(locust bean)·해초류와 그 밖의 조류(藻類)·사탕무와 사탕수수(신선한 것·냉장한 것·냉동한 것·건조한 것으로서 잘게 부수었는지에 상관없다), 주로 식용에 적합한 과실의 핵(核)과 그 밖의 식물성 생산품[볶지 않은 시코리엄 인티부스 새티범(Cichorium intybus sativum) 변종의 치커리(chicory) 뿌리를 포함한다]으로서 따로 분류되지 않은 것"
12,1213,곡물의 짚과 껍질,"곡물의 짚과 껍질[조제하지 않은 것으로 한정하며, 절단하거나 잘게 부수거나 압착한 것인지 또는 펠릿(pellet) 모양인지에 상관없다]"
12,1214,사료용 식물,스위드(swede)·맹골드(mangold)·사료용 뿌리채소류(根菜類)·건초·루우산(lucerne)(알팔파)·클로버(clover)·샌포인(sainfoin)·사료용 케일(kale)·루핀(lupine)·베치(vetch)와 이와 유사한 사료용 식물[펠릿(pellet) 모양인지에 상관없다]
13,301,락·천연검·수지,"락(lac), 천연 검·수지·검 수지·올레오레진(oleoresin)[예: 발삼(balsam)]"
13,1302,식물성의 수액과 추출물,"식물성 수액과 추출물(extract), 펙틴질, 펙티닝산염(pectinate)과 펙틴산염(pectate), 식물성 원료에서 얻은 한천·그 밖의 점질물과 시커너(thickener)(변성 가공했는지에 상관없다)"
14,1401,편조물용 식물성재료,"편조물(編組物)에 주로 사용되는 식물성 재료[예: 대나무, 등나무, 갈대, 골풀, 버드나무 가지(osier), 라피아(raffia), 청정·표백·염색한 곡물의 짚과 라임나무(lime) 껍질]"
14,1404,기타 식물성생산품,따로 분류되지 않은 식물성 생산품
15,1501,돈지,돼지의 지방[라드(lard)를 포함한다]과 가금(家禽)의 지방(제0209호나 제1503호의 것은 제외한다)
15,1502,소·양의 지방,소·면양·염소의 지방(제1503호의 것은 제외한다)
15,1503,라드유,"라드스테아린(lard stearin), 라드유(lard oil), 올레오스테아린(oleostearin), 올레오유(oleo-oil), 탤로우유(tallow oil)로서 유화·혼합이나 그 밖의 조제를 하지 않은 것"
15,1504,어유·경유(鯨油),어류나 바다에서 사는 포유동물의 지방과 기름 및 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1505,울그리스,울그리스(wool grease)와 이것에서 얻은 지방성 물질[라놀린(lanolin)을 포함한다]
15,1506,기타 동물성유지,그 밖의 동물성 지방과 기름 및 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1507,대두유,대두유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1508,땅콩기름,땅콩기름과 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1509,올리브유,올리브유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1510,기타 올리브유,"그 밖의 올리브유와 그 분획물(올리브에서 얻은 것으로서 정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외하고, 이들의 기름이나 그 분획물이 제1509호의 기름이나 그 분획물과 혼합된 것을 포함한다)"
15,1511,팜유,팜유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1512,해바라기씨유·잇꽃유·목화씨유,해바라기씨유·잇꽃유·목화씨유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1513,야쟈유,"야자[코프라(copra)]유, 팜핵유(palm kernel oil), 바바수유(babassu oil)와 이들의 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)"
15,1514,유채유·겨자유,"유채유(rape oil, colza oil), 겨자유와 이들의 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)"
15,1515,기타 식물성 유지,그 밖의 비휘발성인 식물성·미생물성 지방과 기름[호호바유(jojoba oil)를 포함한다]과 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
15,1516,수소첨가·인터에스텔화한 유지,"동물성·식물성·미생물성 지방과 기름 및 이들의 분획물[전체적으로나 부분적으로 수소를 첨가한 것, 인터에스텔화한(inter-esterified) 것, 리에스텔화한(re-esterified) 것, 엘라이딘화한(elaidinised) 것으로 한정하며, 정제했는지에 상관없으며 더 이상 가공한 것은 제외한다]"
15,1517,마가린,"마가린, 동물성·식물성·미생물성 지방이나 기름 또는 이 류의 다른 지방이나 기름의 분획물로 만든 식용 혼합물이나 조제품(제1516호의 식용 지방이나 기름 또는 이들의 분획물은 제외한다)"
15,1518,변성유지 및 비식용유지,"동물성·식물성·미생물성 지방과 기름 및 이들의 분획물(끓이거나 산화·탈수·황화·취입하거나 진공상태나 불활성 가스에서 가열중합하거나 그 밖의 화학적 변성을 한 것으로 한정하며, 제1516호의 물품은 제외한다), 따로 분류되지 않은 것으로서 식용에 적합하지 않은 동물성·식물성·미생물성 지방이나 기름 또는 이 류의 다른 지방이나 기름의 분획물의 혼합물이나 조제품"
15,1520,글리세롤,"글리세롤(glycerol)(가공하지 않은 것으로 한정한다), 글리세롤 수(水), 글리세롤 폐액(廢液)"
15,1521,동식물성 왁스,식물성 왁스[트리글리세라이드(triglyceride)는 제외한다]·밀랍(蜜蠟)과 그 밖의 곤충 왁스·고래 왁스(정제했는지 또는 착색했는지에 상관없다)
15,1522,데그라스,"데그라스(degras), 지방성 물질이나 동물성·식물성 왁스를 처리할 때 생기는 잔유물"
16,1601,소시지,소시지나 그 밖에 이와 유사한 물품[육·설육(屑肉)·피·곤충으로 조제한 것으로 한정한다]과 이들 물품을 기본 재료로 한 조제 식료품
16,1602,육류의 기타 조제품,그 밖의 조제하거나 보존처리한 육·설육(屑肉)·피·곤충
16,1603,육·어류의 엑스와 즙,육·어류·갑각류·연체동물이나 그 밖의 수생(水生) 무척추동물의 추출물(extract)과 즙
16,1604,어류조제품·캐비어,"조제하거나 보존처리한 어류, 캐비어, 어란(魚卵)으로 조제한 캐비어 대용물"
16,1605,갑각류·연체동물의 조제품,조제하거나 보존처리한 갑각류·연체동물·그 밖의 수생(水生) 무척추동물
17,1701,사탕수수당,"사탕수수당이나 사탕무당, 화학적으로 순수한 자당(蔗糖)(고체 상태인 것으로 한정한다)"
17,1702,기타의 당류,"그 밖의 당류(糖類)[화학적으로 순수한 유당(乳糖)·맥아당·포도당·과당을 포함하며, 고체상태인 것으로 한정한다], 당시럽[향미제(香味劑)나 착색제를 첨가하지 않은 것으로 한정한다], 인조꿀(천연꿀을 혼합했는지에 상관없다), 캐러멜당"
17,1703,당밀,당밀(糖蜜)[당류(糖類)를 추출하거나 정제할 때 생긴 것으로 한정한다]
17,1704,설탕과자,"설탕과자(백색 초콜릿을 포함하며, 코코아를 함유한 것은 제외한다)"
18,1801,코코아두,코코아두(원래 모양이나 부순 것으로서 생 것이나 볶은 것으로 한정한다)
18,1802,코코아의 각·피,"코코아의 껍데기와 껍질, 그 밖의 코코아 웨이스트(waste)"
18,1803,코코아 페이스트,코코아 페이스트(paste)[탈지(脫脂)한 것인지에 상관없다]
18,1804,코코아 버터,"코코아 버터, 지방과 기름"
18,1805,코코아 가루,코코아 가루(설탕이나 그 밖의 감미료를 첨가한 것은 제외한다)
18,1806,초콜릿과 코코아조제품,초콜릿과 코코아를 함유한 그 밖의 조제 식료품
19,1901,곡분·밀크의 조제품,"맥아 추출물(extract)과 고운 가루·부순 알곡·거친 가루·전분이나 맥아 추출물(extract)의 조제 식료품[코코아를 함유하지 않은 것이나 완전히 탈지(脫脂)한 상태에서 측정한 코코아의 함유량이 전 중량의 100분의 40 미만인 것으로 따로 분류되지 않은 것으로 한정한다], 제0401호부터 제0404호까지에 해당하는 물품의 조제 식료품[코코아를 함유하지 않은 것이나 완전히 탈지(脫脂)한 상태에서 측정한 코코아의 함유량이 전 중량의 100분의 5 미만인 것으로 따로 분류되지 않은 것으로 한정한다]"
19,1902,파스타,파스타[조리한 것인지 또는 육(肉)이나 그 밖의 물품으로 속을 채운 것인지에 상관없으며 스파게티·마카로니·누들·라자니아(lasagne)·뇨키(gnocchi)·라비올리(ravioli)·카넬로니(cannelloni) 등과 같이 그 밖의 방법으로 조제한 것을 포함한다]와 쿠스쿠스(couscous)(조제한 것인지에 상관없다)
19,1903,타피오카,타피오카와 전분으로 조제한 타피오카 대용물[플레이크(flake) 모양·낱알 모양·진주 모양·무거리 모양·그 밖에 이와 유사한 모양의 것으로 한정한다]
19,1904,콘플레이크 및 기타 가공곡물,곡물이나 곡물 가공품을 팽창시키거나 볶아서 얻은 조제 식료품[예: 콘 플레이크(corn flake)]과 낱알 모양이나 플레이크(flake) 모양이나 그 밖의 가공한 곡물(옥수수는 제외하며 고운 가루·부순 알곡·거친 가루는 제외하고 사전조리나 그 밖의 방법으로 조제한 것으로서 따로 분류되지 않은 것으로 한정한다)
19,1905,베이커리제품,"빵·파이·케이크·비스킷과 그 밖의 베이커리 제품(코코아를 함유하였는지에 상관없다), 성찬용 웨이퍼·제약용에 적합한 빈 캡슐·실링웨이퍼(sealing wafer)·라이스페이퍼(rice paper)와 그 밖에 이와 유사한 물품"
20,2001,식초·초산처리한 채소·과실,식초나 초산으로 조제하거나 보존처리한 채소·과실·견과류와 그 밖의 식용에 적합한 식물의 부분
20,2002,토마토 조제품,조제하거나 보존처리한 토마토(식초나 초산으로 처리한 것은 제외한다)
20,2003,버섯 조제품,조제하거나 보존처리한 버섯과 송로(松露)(식초나 초산으로 처리한 것은 제외한다)
20,2004,기타 냉동한 채소조제품,"조제하거나 보존처리한 그 밖의 채소(식초나 초산으로 처리한 것은 제외하고, 냉동한 것으로 한정하며, 제2006호의 물품은 제외한다)"
20,2005,기타 채소조제품,"조제하거나 보존처리한 그 밖의 채소(식초나 초산으로 처리한 것은 제외하고, 냉동하지 않은 것으로 한정하며, 제2006호의 물품은 제외한다)"
20,2006,설탕처리한 채소·과실,"설탕으로 보존처리한 채소·과실·견과류·과피와 식물의 그 밖의 부분[드레인한(drained) 것, 설탕을 입히거나 설탕에 절인 것]"
20,2007,잼·과실제리,"잼·과실젤리·마멀레이드(marmalade)·과실이나 견과류의 퓨레(puree)·과실이나 견과류의 페이스트(paste)(조리해서 얻은 것으로 한정하며, 설탕이나 그 밖의 감미료를 첨가했는지에 상관없다)"
20,2008,기타 과실·견과류의 조제품,그 밖의 방법으로 조제하거나 보존처리한 과실·견과류와 그 밖의 식용에 적합한 식물의 부분(설탕이나 그 밖의 감미료나 주정을 첨가했는지에 상관없으며 따로 분류되지 않은 것으로 한정한다)
20,2009,주스,과실·견과류 주스(포도즙과 코코넛 워터를 포함한다)·채소 주스[발효하지 않고 주정을 함유하지 않은 것(설탕이나 그 밖의 감미료를 첨가했는지에 상관없다)]
21,2101,커피·차·마태의 조제품,"커피·차·마테(mate)의 추출물(extract)·에센스(essence)·농축물과 이것들을 기본 재료로 한 조제품, 커피·차·마테(mate)를 기본 재료로 한 조제품, 볶은 치커리(chicory)·그 밖의 볶은 커피 대용물과 이들의 추출물(extract)·에센스(essence)·농축물"
21,2102,효모·베이킹파우다,"효모(활성이거나 불활성인 것), 그 밖의 단세포 미생물(죽은 것으로 한정하며, 제3002호의 백신은 제외한다)과 조제한 베이킹 파우더"
21,2103,소스·혼합조미료,"소스와 소스용 조제품, 혼합조미료, 겨자의 고운 가루·거친 가루와 조제한 겨자"
21,2104,수프·브로드,"수프·브로드(broth)와 수프·브로드(broth)용 조제품, 균질화한 혼합 조제 식료품"
21,2105,아이스크림과 빙과류,아이스크림과 그 밖의 빙과류(코코아를 함유했는지에 상관없다)
21,2106,기타 조제식료품,따로 분류되지 않은 조제 식료품
22,2201,물,"물(천연이나 인조 광천수와 탄산수를 포함하며, 설탕이나 그 밖의 감미료 또는 맛이나 향을 첨가하지 않은 것으로 한정한다)과 얼음과 눈"
